,加权利率,品种,品种2,日期,时间,最新利率
4077,3.0480,DIBO1Y,0,09-24,17:00,3.0480
4078,3.6776,DIBO3M,0,09-24,17:00,3.5500
4079,3.4500,DR4M,1,09-26,14:45,3.4500
4080,1.6453,DIBO001,0,09-26,15:00,1.6300
4081,2.5741,DIBO007,0,09-26,15:00,2.9000
4082,3.0320,DIBO014,0,09-26,15:00,2.9670
4083,3.1201,DIBO021,0,09-26,15:00,3.0000
4084,2.8284,DIBO1M,0,09-26,15:00,2.8720
4085,3.1425,DIBO2M,0,09-26,15:00,3.4000
4086,3.0106,DIBO3M,0,09-26,15:00,2.8800
4087,3.0000,DIBO4M,0,09-26,15:00,3.0000
4088,3.7776,DIBO6M,0,09-26,15:00,3.2500
4089,3.0480,DIBO1Y,0,09-24,17:00,3.0480
4090,4.2000,DIBO1Y,0,09-26,15:00,4.2000
4091,1.6163,DR001,1,09-26,15:00,1.6000
4092,2.4605,DR007,1,09-26,15:00,1.6500
4093,2.9692,DR014,1,09-26,15:00,2.9200
4094,2.9073,DR021,1,09-26,15:00,2.9000
4095,2.8906,DR1M,1,09-26,15:00,2.8000
4096,2.8817,DR2M,1,09-26,15:00,2.7500
4097,2.8000,DR3M,1,09-26,15:00,3.0000
4098,3.4500,DR4M,1,09-26,15:00,3.4500
4099,1.6453,DIBO001,0,09-26,15:15,1.6600
4100,2.3484,DR001,1,09-24,17:00,2.3000
4101,2.5741,DIBO007,0,09-26,15:15,2.9000
4102,3.0259,DIBO014,0,09-26,15:15,2.9600
4103,3.1201,DIBO021,0,09-26,15:15,3.0000
4104,2.8284,DIBO1M,0,09-26,15:15,2.8720
4105,3.1425,DIBO2M,0,09-26,15:15,3.4000
4106,3.0106,DIBO3M,0,09-26,15:15,2.8800
4107,3.0000,DIBO4M,0,09-26,15:15,3.0000
4108,3.7776,DIBO6M,0,09-26,15:15,3.2500
4109,4.2000,DIBO1Y,0,09-26,15:15,4.2000
4110,1.6156,DR001,1,09-26,15:15,1.6000
4111,2.6040,DR007,1,09-24,17:00,2.3000
4112,2.4578,DR007,1,09-26,15:15,2.9000
4113,2.9680,DR014,1,09-26,15:15,3.1000
4114,2.9073,DR021,1,09-26,15:15,2.9000
4115,2.8906,DR1M,1,09-26,15:15,2.8000
4116,2.8817,DR2M,1,09-26,15:15,2.7500
4117,2.8000,DR3M,1,09-26,15:15,3.0000
4118,3.4500,DR4M,1,09-26,15:15,3.4500
4119,1.6450,DIBO001,0,09-26,15:45,1.6370
4120,2.5741,DIBO007,0,09-26,15:45,2.9000
4121,3.0228,DIBO014,0,09-26,15:45,3.0100
4122,3.0069,DR014,1,09-24,17:00,3.0100
4123,3.1201,DIBO021,0,09-26,15:45,3.0000
4124,2.7813,DIBO1M,0,09-26,15:45,2.7490
4125,3.1425,DIBO2M,0,09-26,15:45,3.4000
4126,3.0106,DIBO3M,0,09-26,15:45,2.8800
4127,3.0000,DIBO4M,0,09-26,15:45,3.0000
4128,3.7511,DIBO6M,0,09-26,15:45,2.8150
4129,4.2000,DIBO1Y,0,09-26,15:45,4.2000
4130,1.6138,DR001,1,09-26,15:45,1.6200
4131,2.4580,DR007,1,09-26,15:45,2.4700
4132,2.9682,DR014,1,09-26,15:45,2.9700
4133,3.0077,DR021,1,09-24,17:00,2.9000
4134,2.9084,DR021,1,09-26,15:45,2.8500
4135,2.8906,DR1M,1,09-26,15:45,2.8000
4136,2.8817,DR2M,1,09-26,15:45,2.7500
4137,2.8000,DR3M,1,09-26,15:45,3.0000
4138,3.4500,DR4M,1,09-26,15:45,3.4500
4139,1.6450,DIBO001,0,09-26,16:00,1.6100
4140,2.5741,DIBO007,0,09-26,16:00,2.9000
4141,3.0228,DIBO014,0,09-26,16:00,3.0100
4142,3.1201,DIBO021,0,09-26,16:00,3.0000
4143,2.7813,DIBO1M,0,09-26,16:00,2.7490
4144,2.9912,DR1M,1,09-24,17:00,2.8000
4145,3.1425,DIBO2M,0,09-26,16:00,3.4000
4146,3.0106,DIBO3M,0,09-26,16:00,2.8800
4147,3.0000,DIBO4M,0,09-26,16:00,3.0000
4148,3.7511,DIBO6M,0,09-26,16:00,2.8150
4149,4.2000,DIBO9M,0,09-26,16:00,4.2000
4150,4.2000,DIBO1Y,0,09-26,16:00,4.2000
4151,1.6135,DR001,1,09-26,16:00,1.6100
4152,2.4586,DR007,1,09-26,16:00,2.4700
4153,2.9682,DR014,1,09-26,16:00,2.9700
4154,2.9097,DR021,1,09-26,16:00,2.9500
4155,3.1137,DR2M,1,09-24,17:00,3.1000
4156,2.8906,DR1M,1,09-26,16:00,2.8000
4157,2.8817,DR2M,1,09-26,16:00,2.7500
4158,2.8000,DR3M,1,09-26,16:00,2.8000
4159,3.4500,DR4M,1,09-26,16:00,3.4500
4160,1.6449,DIBO001,0,09-26,16:15,1.5870
4161,2.5741,DIBO007,0,09-26,16:15,2.9000
4162,3.0228,DIBO014,0,09-26,16:15,3.0100
4163,3.1201,DIBO021,0,09-26,16:15,3.0000
4164,2.7616,DIBO1M,0,09-26,16:15,2.7000
4165,3.1425,DIBO2M,0,09-26,16:15,3.4000
4166,2.9703,DR3M,1,09-24,17:00,3.0000
4167,3.0106,DIBO3M,0,09-26,16:15,2.8800
4168,3.0000,DIBO4M,0,09-26,16:15,3.0000
4169,3.7511,DIBO6M,0,09-26,16:15,2.8150
4170,4.2000,DIBO9M,0,09-26,16:15,4.2000
4171,4.2000,DIBO1Y,0,09-26,16:15,4.2000
4172,1.6128,DR001,1,09-26,16:15,1.4000
4173,2.4592,DR007,1,09-26,16:15,2.4600
4174,2.9681,DR014,1,09-26,16:15,2.9000
4175,2.9097,DR021,1,09-26,16:15,2.9500
4176,2.8906,DR1M,1,09-26,16:15,2.8000
4177,3.5000,DR6M,1,09-24,17:00,3.5000
4178,2.8817,DR2M,1,09-26,16:15,2.7500
4179,2.8000,DR3M,1,09-26,16:15,2.8000
4180,3.4500,DR4M,1,09-26,16:15,3.4500
4181,1.6445,DIBO001,0,09-26,16:30,1.6000
4182,2.5741,DIBO007,0,09-26,16:30,2.9000
4183,3.0223,DIBO014,0,09-26,16:30,2.8000
4184,3.1201,DIBO021,0,09-26,16:30,3.0000
4185,2.7616,DIBO1M,0,09-26,16:30,2.7000
4186,3.1425,DIBO2M,0,09-26,16:30,3.4000
4187,3.0106,DIBO3M,0,09-26,16:30,2.8800
4188,2.3484,DR001,1,09-24,17:00,2.3000
4189,2.3753,DIBO001,0,09-24,17:00,2.3600
4190,3.0000,DIBO4M,0,09-26,16:30,3.0000
4191,3.7511,DIBO6M,0,09-26,16:30,2.8150
4192,4.2000,DIBO9M,0,09-26,16:30,4.2000
4193,4.2000,DIBO1Y,0,09-26,16:30,4.2000
4194,1.6128,DR001,1,09-26,16:30,1.6500
4195,2.4594,DR007,1,09-26,16:30,2.4600
4196,2.9681,DR014,1,09-26,16:30,2.9000
4197,2.9097,DR021,1,09-26,16:30,2.9500
4198,2.8906,DR1M,1,09-26,16:30,2.8000
4199,2.8817,DR2M,1,09-26,16:30,2.7500
4200,2.6220,DIBO007,0,09-24,17:00,3.2900
4201,2.8000,DR3M,1,09-26,16:30,2.8000
4202,3.4500,DR4M,1,09-26,16:30,3.4500
4203,1.6446,DIBO001,0,09-26,16:45,1.6500
4204,2.5741,DIBO007,0,09-26,16:45,2.9000
4205,3.0223,DIBO014,0,09-26,16:45,2.8000
4206,3.1201,DIBO021,0,09-26,16:45,3.0000
4207,2.7616,DIBO1M,0,09-26,16:45,2.7000
4208,3.1425,DIBO2M,0,09-26,16:45,3.4000
4209,3.0106,DIBO3M,0,09-26,16:45,2.8800
4210,3.0000,DIBO4M,0,09-26,16:45,3.0000
4211,3.0367,DIBO014,0,09-24,17:00,3.3000
4212,3.7511,DIBO6M,0,09-26,16:45,2.8150
4213,4.2000,DIBO9M,0,09-26,16:45,4.2000
4214,4.2000,DIBO1Y,0,09-26,16:45,4.2000
4215,1.6128,DR001,1,09-26,16:45,1.6100
4216,2.4596,DR007,1,09-26,16:45,2.5000
4217,2.9681,DR014,1,09-26,16:45,2.9000
4218,2.9097,DR021,1,09-26,16:45,2.9500
4219,2.8906,DR1M,1,09-26,16:45,2.8000
4220,2.8817,DR2M,1,09-26,16:45,2.7500
4221,2.8000,DR3M,1,09-26,16:45,2.8000
4222,3.2380,DIBO021,0,09-24,17:00,3.1300
4223,3.4500,DR4M,1,09-26,16:45,3.4500
4224,1.6446,DIBO001,0,09-26,17:00,1.6500
4225,2.5741,DIBO007,0,09-26,17:00,2.9000
4226,3.0223,DIBO014,0,09-26,17:00,2.8000
4227,3.1201,DIBO021,0,09-26,17:00,3.0000
4228,2.7616,DIBO1M,0,09-26,17:00,2.7000
4229,3.1425,DIBO2M,0,09-26,17:00,3.4000
4230,3.0106,DIBO3M,0,09-26,17:00,2.8800
4231,3.0000,DIBO4M,0,09-26,17:00,3.0000
4232,3.7511,DIBO6M,0,09-26,17:00,2.8150
4233,3.6136,DIBO1M,0,09-24,17:00,4.5500
4234,4.2000,DIBO9M,0,09-26,17:00,4.2000
4235,4.2000,DIBO1Y,0,09-26,17:00,4.2000
4236,1.6128,DR001,1,09-26,17:00,1.6000
4237,2.4596,DR007,1,09-26,17:00,2.5000
4238,2.9681,DR014,1,09-26,17:00,2.9000
4239,2.9097,DR021,1,09-26,17:00,2.9500
4240,2.8906,DR1M,1,09-26,17:00,2.8000
4241,2.8817,DR2M,1,09-26,17:00,2.7500
4242,2.8000,DR3M,1,09-26,17:00,2.8000
4243,3.4500,DR4M,1,09-26,17:00,3.4500
4244,3.5068,DIBO2M,0,09-24,17:00,3.3000
4245,1.6446,DIBO001,0,09-26,17:00,1.6500
4246,2.5741,DIBO007,0,09-26,17:00,2.9000
4247,3.0223,DIBO014,0,09-26,17:00,2.8000
4248,3.1201,DIBO021,0,09-26,17:00,3.0000
4249,2.7616,DIBO1M,0,09-26,17:00,2.7000
4250,3.1425,DIBO2M,0,09-26,17:00,3.4000
4251,3.0106,DIBO3M,0,09-26,17:00,2.8800
4252,3.0000,DIBO4M,0,09-26,17:00,3.0000
4253,3.7511,DIBO6M,0,09-26,17:00,2.8150
4254,4.2000,DIBO9M,0,09-26,17:00,4.2000
4255,3.6776,DIBO3M,0,09-24,17:00,3.5500
4256,4.2000,DIBO1Y,0,09-26,17:00,4.2000
4257,1.6128,DR001,1,09-26,17:00,1.6000
4258,2.4596,DR007,1,09-26,17:00,2.5000
4259,2.9681,DR014,1,09-26,17:00,2.9000
4260,2.9097,DR021,1,09-26,17:00,2.9500
4261,2.8906,DR1M,1,09-26,17:00,2.8000
4262,2.8817,DR2M,1,09-26,17:00,2.7500
4263,2.8000,DR3M,1,09-26,17:00,2.8000
4264,3.4500,DR4M,1,09-26,17:00,3.4500
4265,1.6446,DIBO001,0,09-26,17:00,1.6500
4266,3.0480,DIBO1Y,0,09-24,17:00,3.0480
4267,2.5741,DIBO007,0,09-26,17:00,2.9000
4268,3.0223,DIBO014,0,09-26,17:00,2.8000
4269,3.1201,DIBO021,0,09-26,17:00,3.0000
4270,2.7616,DIBO1M,0,09-26,17:00,2.7000
4271,3.1425,DIBO2M,0,09-26,17:00,3.4000
4272,3.0106,DIBO3M,0,09-26,17:00,2.8800
4273,3.0000,DIBO4M,0,09-26,17:00,3.0000
4274,3.7511,DIBO6M,0,09-26,17:00,2.8150
