客户名称,2019-04-28 00:00:00,生效起始日,生效截至日,2019-04-30
中广核财务有限责任公司,300000000.0,20170830,20190930,300000000.0
福建省能源集团财务有限公司,92000000.0,20170830,20190930,92000000.0
中建财务有限公司,300000000.0,20170830,20190930,300000000.0
马钢集团财务有限公司,111111111.1,20170830,20170830,111111111.11
山东黄金集团财务有限公司,587153.13,20170830,20190830,587153.13
重庆鈊渝金融租赁有限公司,0.01,20170830,20180930,0.01
航天科技财务有限责任公司,226896414.3,20170830,20190726,226896414.27
山东省商业集团财务有限公司,60000000.0,20170830,20180628,60000000.0
中联重科集团财务有限公司,111111111.1,20170830,20170830,111111111.11
江苏吴江农村商业银行股份有限公司,35876860.52,20121101,20190930,35876860.52
浙江温州龙湾农村商业银行股份有限公司,918689.31,20131106,20191231,918689.31
新余农村商业银行股份有限公司,47000000.0,20131106,20180903,47000000.0
鄂尔多斯农村商业银行股份有限公司,222222222.2,20140208,20150930,222222222.22
江苏江阴农村商业银行股份有限公司,445073049.1,20140208,20190930,445073049.06
江苏姜堰农村商业银行股份有限公司,80970000.0,20140208,20191031,80970000.0
江苏启东农村商业银行股份有限公司,80190061.76,20140208,20191130,80190061.76
江苏沭阳农村商业银行股份有限公司,111111111.1,20140208,20150930,111111111.11
江苏如皋农村商业银行股份有限公司,167951494.8,20140208,20191030,167951494.82
徐州淮海农村商业银行股份有限公司,440000000.0,20140208,20151008,440000000.0
无锡农村商业银行股份有限公司,12316489.75,20140208,20190930,12316489.75
江苏宜兴农村商业银行股份有限公司,0.01,20140208,20170830,0.01
山东威海农村商业银行股份有限公司,1.11,20140208,20150930,1.11
江苏太仓农村商业银行股份有限公司,164666666.7,20140208,20150930,164666666.67
浙江义乌农村商业银行股份有限公司,31794718.4,20140220,20190930,31794718.4
广东揭阳农村商业银行股份有限公司,0.01,20140221,20170830,0.01
贵阳农村商业银行股份有限公司,0.01,20140221,20170830,0.01
江苏大丰农村商业银行股份有限公司,0.01,20140221,20190930,0.01
